能力評価,性格診断結果,思索型:内閉性,自制型:弱気さ,従順性,ﾓﾗﾄﾘｱﾑ傾向,自己信頼性,努力型:持続性,積極性,協調性,共感性,努力型:規則性
A,C,47.0,49.0,52.0,43.0,41.0,34.0,63.0,42.0,30.0,
B,－,63.0,43.0,58.0,41.0,28.0,,48.0,71.0,25.0,63.0
B,S,38.0,49.0,53.0,,38.0,40.0,51.0,53.0,26.0,64.0
A,C,47.0,72.0,41.0,,42.0,51.0,64.0,41.0,41.0,47.0
,C,28.0,63.0,58.0,43.0,,,47.0,41.0,,58.0
C,C,,88.0,78.0,46.0,,48.0,22.0,64.0,34.0,63.0
C,D,40.0,58.0,70.0,66.0,35.0,20.0,38.0,56.0,37.0,44.0
B,B,37.0,48.0,,44.0,34.0,31.0,74.0,52.0,31.0,59.0
,D,46.0,50.0,66.0,46.0,36.0,38.0,56.0,25.0,30.0,69.0
C,S,59.0,49.0,,47.0,17.0,,60.0,42.0,63.0,
B,D,42.0,47.0,52.0,44.0,,23.0,54.0,74.0,,46.0
,D,37.0,51.0,42.0,49.0,29.0,49.0,29.0,8.0,,
,B,49.0,43.0,,37.0,,,65.0,32.0,42.0,42.0
B,D,44.0,,25.0,41.0,38.0,56.0,,11.0,16.0,30.0
C,－,53.0,96.0,52.0,35.0,,54.0,44.0,26.0,44.0,52.0
C,D,52.0,44.0,52.0,,46.0,28.0,26.0,33.0,29.0,58.0
A,－,64.0,44.0,54.0,,23.0,36.0,,62.0,10.0,57.0
B,S,53.0,72.0,48.0,43.0,27.0,,52.0,27.0,16.0,
A,－,54.0,54.0,,,31.0,33.0,62.0,14.0,,39.0
B,－,49.0,58.0,43.0,43.0,,24.0,47.0,31.0,10.0,50.0
A,－,50.0,43.0,66.0,48.0,24.0,29.0,,39.0,44.0,54.0
B,C,,48.0,50.0,36.0,27.0,47.0,55.0,9.0,,60.0
B,D,34.0,58.0,,,,62.0,74.0,58.0,,66.0
B,－,41.0,54.0,26.0,35.0,54.0,,20.0,,10.0,62.0
A,D,35.0,50.0,38.0,48.0,19.0,,47.0,54.0,36.0,34.0
B,S,56.0,41.0,44.0,42.0,48.0,58.0,49.0,,20.0,62.0
A,C,50.0,51.0,41.0,33.0,,29.0,50.0,37.0,10.0,62.0
,－,59.0,39.0,25.0,41.0,58.0,,64.0,51.0,,60.0
,A,82.0,94.0,41.0,50.0,55.0,49.0,,67.0,39.0,77.0
C,C,,66.0,55.0,25.0,35.0,54.0,22.0,74.0,35.0,
,－,39.0,51.0,62.0,46.0,26.0,50.0,43.0,60.0,15.0,56.0
,S,39.0,53.0,,49.0,45.0,,43.0,,16.0,61.0
A,－,70.0,44.0,28.0,50.0,46.0,38.0,56.0,41.0,43.0,63.0
C,B,52.0,77.0,43.0,43.0,36.0,49.0,57.0,12.0,,57.0
B,－,83.0,46.0,,31.0,40.0,53.0,43.0,36.0,24.0,65.0
B,C,35.0,,,50.0,40.0,23.0,,74.0,18.0,42.0
B,－,27.0,54.0,,47.0,64.0,34.0,43.0,52.0,48.0,
B,D,47.0,,,58.0,,64.0,17.0,52.0,48.0,51.0
B,－,81.0,58.0,,52.0,,62.0,55.0,47.0,22.0,
,S,,45.0,37.0,75.0,,63.0,59.0,30.0,25.0,
,S,67.0,46.0,41.0,,18.0,66.0,23.0,,57.0,
,C,57.0,51.0,42.0,46.0,,43.0,54.0,,,51.0
B,D,53.0,31.0,56.0,27.0,30.0,64.0,55.0,,,
B,－,36.0,70.0,53.0,28.0,34.0,60.0,,60.0,,
B,B,79.0,43.0,48.0,45.0,,36.0,45.0,17.0,28.0,61.0
,－,,85.0,55.0,50.0,38.0,54.0,50.0,,22.0,57.0
,B,,43.0,49.0,,65.0,33.0,58.0,68.0,39.0,56.0
A,B,59.0,61.0,45.0,26.0,,30.0,34.0,,49.0,
B,－,30.0,,37.0,45.0,,51.0,36.0,36.0,38.0,79.0
B,－,53.0,83.0,,,34.0,36.0,55.0,52.0,13.0,58.0
B,C,,39.0,49.0,43.0,46.0,,27.0,57.0,17.0,56.0
B,D,44.0,45.0,26.0,,,39.0,,48.0,24.0,65.0
A,A,,,,51.0,,24.0,74.0,25.0,,37.0
C,－,79.0,51.0,22.0,36.0,33.0,42.0,41.0,46.0,42.0,50.0
,C,36.0,51.0,22.0,29.0,38.0,47.0,41.0,49.0,25.0,50.0
B,A,40.0,55.0,54.0,46.0,,21.0,68.0,62.0,38.0,36.0
B,C,,24.0,22.0,,11.0,63.0,30.0,,10.0,
B,－,27.0,45.0,33.0,53.0,,21.0,74.0,50.0,20.0,
,－,35.0,33.0,48.0,32.0,23.0,49.0,,74.0,18.0,54.0
B,D,,48.0,43.0,,35.0,,55.0,,,58.0
B,S,,71.0,55.0,34.0,40.0,17.0,,45.0,,52.0
B,S,,60.0,,24.0,43.0,,46.0,21.0,59.0,74.0
A,－,71.0,56.0,,51.0,33.0,24.0,,15.0,27.0,35.0
A,A,33.0,,,41.0,40.0,30.0,39.0,62.0,,64.0
A,S,52.0,64.0,58.0,48.0,49.0,33.0,,61.0,47.0,43.0
C,－,43.0,45.0,,48.0,79.0,56.0,46.0,26.0,29.0,36.0
A,A,51.0,57.0,34.0,45.0,33.0,47.0,26.0,45.0,50.0,52.0
B,D,,75.0,50.0,38.0,40.0,,26.0,,11.0,64.0
B,A,,71.0,52.0,25.0,51.0,44.0,41.0,48.0,24.0,54.0
B,－,,27.0,57.0,49.0,27.0,45.0,18.0,46.0,41.0,59.0
A,A,44.0,34.0,30.0,41.0,40.0,39.0,,65.0,,38.0
B,S,,57.0,22.0,48.0,42.0,25.0,66.0,27.0,15.0,45.0
,C,,49.0,54.0,,,34.0,,22.0,34.0,56.0
B,B,35.0,48.0,39.0,,37.0,31.0,41.0,29.0,27.0,
A,－,37.0,32.0,,54.0,64.0,,69.0,,27.0,56.0
A,D,39.0,62.0,57.0,44.0,,48.0,60.0,,42.0,53.0
,A,45.0,51.0,39.0,60.0,40.0,26.0,55.0,,14.0,59.0
B,－,,48.0,53.0,28.0,66.0,45.0,44.0,73.0,35.0,42.0
C,－,38.0,60.0,49.0,46.0,34.0,,,,40.0,
C,A,37.0,56.0,28.0,,46.0,,67.0,,41.0,79.0
B,D,,,55.0,,43.0,58.0,72.0,44.0,,58.0
B,B,61.0,46.0,44.0,41.0,44.0,15.0,57.0,59.0,20.0,
,－,50.0,66.0,31.0,,41.0,34.0,35.0,36.0,10.0,
C,A,41.0,49.0,36.0,38.0,47.0,57.0,34.0,74.0,63.0,79.0
A,－,,42.0,32.0,46.0,57.0,17.0,50.0,35.0,23.0,52.0
B,B,45.0,49.0,55.0,44.0,51.0,60.0,60.0,72.0,,40.0
A,B,35.0,68.0,35.0,52.0,41.0,50.0,,16.0,33.0,37.0
,C,36.0,46.0,44.0,,11.0,,,26.0,,64.0
B,C,79.0,57.0,68.0,,41.0,36.0,,44.0,,
A,S,72.0,50.0,,26.0,,,50.0,59.0,44.0,62.0
B,D,62.0,58.0,58.0,41.0,58.0,29.0,,74.0,20.0,38.0
A,C,27.0,42.0,,35.0,31.0,59.0,,61.0,,56.0
B,A,36.0,38.0,33.0,49.0,33.0,15.0,,,24.0,79.0
A,－,89.0,69.0,24.0,34.0,28.0,68.0,69.0,,45.0,68.0
A,D,58.0,67.0,41.0,44.0,,37.0,52.0,31.0,28.0,45.0
A,C,,51.0,51.0,38.0,23.0,14.0,49.0,41.0,,53.0
,B,41.0,64.0,43.0,,37.0,,60.0,34.0,,64.0
B,C,63.0,60.0,40.0,46.0,28.0,61.0,,21.0,21.0,
B,A,52.0,79.0,22.0,50.0,44.0,41.0,62.0,21.0,24.0,
B,－,,55.0,31.0,51.0,54.0,39.0,,30.0,21.0,
A,A,38.0,51.0,46.0,39.0,41.0,30.0,50.0,58.0,18.0,
B,S,,39.0,55.0,28.0,27.0,14.0,70.0,,51.0,62.0
,D,,78.0,45.0,36.0,,51.0,57.0,32.0,46.0,45.0
B,－,68.0,64.0,51.0,28.0,53.0,,50.0,17.0,35.0,56.0
B,B,55.0,,53.0,77.0,49.0,39.0,64.0,51.0,24.0,
A,D,52.0,74.0,27.0,29.0,,34.0,30.0,,13.0,
A,A,46.0,,39.0,54.0,34.0,32.0,60.0,47.0,,51.0
B,C,38.0,28.0,,42.0,75.0,20.0,74.0,,14.0,53.0
,－,58.0,47.0,51.0,49.0,36.0,48.0,,51.0,23.0,52.0
A,B,64.0,43.0,55.0,,21.0,57.0,58.0,38.0,35.0,51.0
B,－,63.0,32.0,,30.0,28.0,,68.0,60.0,24.0,73.0
B,C,,,22.0,42.0,63.0,45.0,25.0,,29.0,55.0
A,S,47.0,57.0,48.0,29.0,32.0,56.0,40.0,48.0,30.0,34.0
B,C,38.0,62.0,82.0,42.0,31.0,,42.0,52.0,39.0,45.0
B,B,,41.0,,32.0,33.0,,51.0,50.0,22.0,
,S,78.0,65.0,33.0,65.0,47.0,51.0,49.0,68.0,,78.0
A,D,41.0,,44.0,47.0,39.0,22.0,47.0,59.0,41.0,46.0
,S,41.0,52.0,43.0,37.0,26.0,21.0,44.0,52.0,,60.0
,S,27.0,,,38.0,38.0,35.0,,40.0,46.0,72.0
,B,56.0,71.0,43.0,25.0,,,34.0,46.0,18.0,
B,S,44.0,50.0,61.0,51.0,47.0,70.0,33.0,,36.0,57.0
A,S,56.0,66.0,22.0,29.0,57.0,48.0,38.0,24.0,12.0,58.0
B,B,,49.0,,,60.0,44.0,74.0,,20.0,79.0
A,－,39.0,,,45.0,55.0,29.0,49.0,62.0,19.0,45.0
B,C,57.0,49.0,54.0,48.0,,40.0,,27.0,37.0,
A,D,55.0,50.0,68.0,56.0,,19.0,40.0,40.0,,46.0
A,C,60.0,58.0,70.0,,54.0,52.0,68.0,,42.0,63.0
C,B,39.0,74.0,40.0,34.0,59.0,53.0,54.0,30.0,11.0,44.0
A,D,28.0,48.0,72.0,46.0,44.0,14.0,34.0,57.0,12.0,59.0
B,D,47.0,76.0,30.0,30.0,45.0,,37.0,22.0,33.0,49.0
B,－,30.0,,55.0,38.0,,,74.0,52.0,53.0,
,A,,37.0,27.0,32.0,33.0,36.0,15.0,34.0,10.0,45.0
A,C,38.0,33.0,,25.0,45.0,35.0,23.0,36.0,10.0,79.0
C,S,,43.0,38.0,,18.0,47.0,35.0,70.0,21.0,63.0
,－,31.0,53.0,,47.0,26.0,22.0,62.0,69.0,26.0,78.0
B,D,35.0,70.0,43.0,34.0,43.0,,,29.0,,
B,A,48.0,,,36.0,53.0,,31.0,62.0,,
B,－,34.0,83.0,25.0,,39.0,48.0,,,32.0,79.0
B,B,39.0,,47.0,26.0,26.0,63.0,71.0,45.0,34.0,46.0
A,B,,,,45.0,35.0,46.0,26.0,34.0,18.0,52.0
B,D,27.0,86.0,48.0,47.0,43.0,24.0,36.0,56.0,,65.0
B,－,49.0,41.0,51.0,48.0,,39.0,,69.0,41.0,66.0
B,S,43.0,71.0,48.0,47.0,79.0,23.0,29.0,34.0,42.0,
B,A,39.0,44.0,46.0,34.0,28.0,,67.0,,16.0,56.0
,D,,36.0,44.0,,55.0,36.0,70.0,46.0,37.0,51.0
,S,49.0,,55.0,45.0,61.0,42.0,62.0,26.0,26.0,58.0
,D,74.0,67.0,37.0,28.0,,54.0,,,33.0,51.0
B,D,71.0,47.0,28.0,49.0,23.0,56.0,49.0,47.0,17.0,74.0
A,A,50.0,47.0,22.0,63.0,55.0,25.0,,67.0,59.0,45.0
B,－,,57.0,50.0,48.0,39.0,53.0,,58.0,46.0,54.0
B,C,,46.0,37.0,35.0,65.0,27.0,50.0,36.0,20.0,31.0
A,B,,70.0,22.0,35.0,,29.0,48.0,60.0,24.0,41.0
,B,68.0,41.0,34.0,39.0,28.0,,58.0,42.0,,61.0
,B,43.0,80.0,76.0,52.0,56.0,39.0,24.0,55.0,34.0,46.0
B,－,,29.0,39.0,52.0,26.0,24.0,74.0,47.0,35.0,64.0
A,S,60.0,50.0,36.0,60.0,,43.0,42.0,74.0,13.0,77.0
B,－,39.0,53.0,,36.0,40.0,,51.0,29.0,,46.0
A,－,31.0,76.0,51.0,42.0,40.0,29.0,47.0,67.0,,72.0
B,B,47.0,,55.0,45.0,,,11.0,48.0,26.0,59.0
C,D,77.0,,22.0,60.0,36.0,32.0,28.0,29.0,50.0,48.0
B,S,,58.0,26.0,42.0,51.0,74.0,38.0,58.0,29.0,
B,－,77.0,,,48.0,,44.0,,26.0,20.0,38.0
,S,49.0,,45.0,,41.0,,,21.0,25.0,50.0
A,－,50.0,42.0,38.0,28.0,23.0,55.0,52.0,39.0,32.0,63.0
B,S,,43.0,46.0,40.0,26.0,58.0,,50.0,32.0,59.0
A,－,38.0,,22.0,25.0,47.0,16.0,39.0,23.0,41.0,49.0
B,－,63.0,50.0,55.0,44.0,,14.0,52.0,16.0,19.0,59.0
B,S,76.0,30.0,51.0,43.0,28.0,47.0,74.0,22.0,16.0,60.0
B,B,70.0,55.0,46.0,,,47.0,62.0,50.0,28.0,54.0
B,A,52.0,95.0,47.0,,30.0,19.0,,50.0,11.0,50.0
A,－,34.0,58.0,36.0,,44.0,41.0,59.0,55.0,32.0,50.0
B,A,47.0,42.0,42.0,63.0,41.0,,,63.0,44.0,
B,B,60.0,58.0,52.0,44.0,55.0,,,68.0,47.0,64.0
B,D,35.0,74.0,27.0,52.0,,48.0,62.0,27.0,21.0,57.0
B,S,75.0,96.0,22.0,53.0,41.0,,46.0,33.0,38.0,50.0
B,D,43.0,78.0,22.0,,37.0,47.0,41.0,50.0,26.0,66.0
B,S,58.0,84.0,,41.0,47.0,33.0,32.0,,11.0,56.0
A,D,41.0,96.0,27.0,42.0,45.0,20.0,52.0,56.0,31.0,62.0
A,D,53.0,49.0,61.0,,40.0,46.0,60.0,,,70.0
,－,42.0,,,61.0,55.0,20.0,74.0,72.0,60.0,
A,－,45.0,52.0,37.0,27.0,37.0,54.0,,19.0,23.0,44.0
C,S,63.0,51.0,,47.0,34.0,,35.0,25.0,10.0,60.0
B,－,83.0,47.0,31.0,34.0,,45.0,44.0,58.0,24.0,60.0
B,－,69.0,88.0,49.0,44.0,53.0,20.0,66.0,31.0,24.0,61.0
,B,50.0,,50.0,49.0,33.0,43.0,67.0,18.0,21.0,57.0
,－,27.0,44.0,30.0,,50.0,45.0,54.0,58.0,38.0,47.0
C,B,81.0,48.0,56.0,47.0,20.0,53.0,,61.0,59.0,
B,A,69.0,,38.0,38.0,,39.0,60.0,67.0,19.0,61.0
C,D,68.0,45.0,35.0,41.0,38.0,19.0,,60.0,10.0,77.0
B,S,,,60.0,,21.0,56.0,60.0,,10.0,
C,D,,51.0,40.0,40.0,38.0,21.0,,57.0,41.0,55.0
,D,43.0,44.0,43.0,28.0,52.0,,71.0,,44.0,48.0
A,－,40.0,43.0,39.0,43.0,44.0,58.0,43.0,51.0,,78.0
B,C,,70.0,26.0,38.0,41.0,45.0,41.0,66.0,28.0,62.0
B,－,61.0,29.0,54.0,61.0,45.0,51.0,61.0,41.0,48.0,47.0
,C,54.0,80.0,46.0,26.0,24.0,48.0,34.0,48.0,,61.0
B,D,,42.0,80.0,49.0,,14.0,56.0,45.0,67.0,53.0
A,－,38.0,60.0,56.0,75.0,51.0,,69.0,,41.0,45.0
,D,,,54.0,52.0,62.0,28.0,45.0,47.0,40.0,62.0
B,S,63.0,40.0,46.0,55.0,49.0,,60.0,58.0,,
,B,31.0,53.0,,52.0,36.0,47.0,62.0,66.0,43.0,65.0
C,C,59.0,81.0,46.0,60.0,,42.0,54.0,61.0,43.0,76.0
B,D,34.0,58.0,38.0,40.0,65.0,62.0,58.0,,,52.0
C,－,47.0,63.0,67.0,52.0,37.0,53.0,32.0,69.0,44.0,45.0
